Fighter_dims,weight_class,avg_KD,avg_opp_KD,avg_SUB_ATT,avg_opp_SUB_ATT,avg_REV,avg_opp_REV,avg_SIG_STR_att,avg_SIG_STR_landed,avg_opp_SIG_STR_att,avg_opp_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_opp_TOTAL_STR_att,avg_opp_TOTAL_STR_landed,avg_TD_att,avg_TD_landed,avg_opp_TD_att,avg_opp_TD_landed,avg_HEAD_att,avg_HEAD_landed,avg_opp_HEAD_att,avg_opp_HEAD_landed,avg_BODY_att,avg_BODY_landed,avg_opp_BODY_att,avg_opp_BODY_landed,avg_LEG_att,avg_LEG_landed,avg_opp_LEG_att,avg_opp_LEG_landed,avg_DISTANCE_att,avg_DISTANCE_landed,avg_opp_DISTANCE_att,avg_opp_DISTANCE_landed,avg_CLINCH_att,avg_CLINCH_landed,avg_opp_CLINCH_att,avg_opp_CLINCH_landed,avg_GROUND_att,avg_GROUND_landed,avg_opp_GROUND_att,avg_opp_GROUND_landed,avg_CTRL_time(seconds),avg_opp_CTRL_time(seconds),Stance_Open Stance,Stance_Orthodox,Stance_Sideways,Stance_Southpaw,Stance_Switch,x,y,cluster,specific_cluster
Aisling Daly,WomenStrawweight,0.0,0.0,0.09785493189146778,0.012573344509638013,0.0,0.0,0.10657250485625763,0.06690914237924808,0.10363523872019627,0.0936449539263449,0.1830987930161436,0.14557441977274388,0.1771284306047897,0.22084644764990724,0.13962849271489816,0.09187839187066521,0.15050622884326698,0.11771486532011159,0.08840808161871186,0.05257510391962201,0.0733798085809926,0.0507439586438523,0.148190954630109,0.101487917287705,0.027056292536954633,0.019085307067106254,0.02247961594147616,0.01854568315171753,0.08599652695330201,0.1353268783489579,0.10740869362886254,0.0647999279071029,0.0745416933218929,0.0664850880781565,0.09812416691806657,0.07345509959035655,0.0610729826147404,0.0475412603097132,0.036033388116140125,0.03354980274582389,0.018365960934485455,0.017241818643784254,0.5857675133174056,0.3027990986597145,0.0,1.0,0.0,0.0,0.0,10.03436,3.1863837,1,1_WomenStrawweight
Aleksandra Albu,WomenStrawweight,0.0,0.0,0.04234818154816414,0.013020833333331015,0.0,0.05855589279165767,0.19684526790843657,0.12436406760398634,0.2371062369403976,0.21385733503114512,0.1841555563065686,0.12021886979014194,0.29144293070367217,0.3268204593313014,0.10391203165445752,0.07017652100031367,0.41970127257648937,0.07895955145465451,0.17164353670047494,0.10148781014453222,0.1634582388054204,0.10003111401502829,0.19737361777276902,0.134600756837773,0.07451955028330952,0.06603045500101352,0.056967656100656926,0.07833052713840326,0.1873498887439988,0.3004586093640973,0.30484573924313446,0.24337769814363286,0.17307355881179598,0.13429936907112988,0.18256788598040358,0.18498402299049685,0.1533452322094352,0.1380741495321016,0.010984151113092618,0.010526478150047041,0.028055764080506126,0.026691294934102956,0.19486979137291432,0.3930078685745305,0.0,1.0,0.0,0.0,0.0,12.787705,2.8368313,1,1_WomenStrawweight
Alex Chambers,WomenStrawweight,0.0,0.0,0.04002653264172007,0.07552059515658609,0.0,0.043039378813081876,0.10930194928758018,0.07004901996154396,0.3059481678288887,0.22640698681711321,0.1073621993416671,0.07412286945283487,0.4775919512417984,0.4951042268018426,0.11948836097967354,0.0819681320908276,0.24377567083363888,0.11321678131191065,0.06808498594293699,0.037568795467489584,0.23913441812090244,0.148915321262001,0.154273232556746,0.10244147847985699,0.11769472151340753,0.07759259522786702,0.2003733726218124,0.19131460215120197,0.09773609795294777,0.11733722696860897,0.1495593474662788,0.13319914303973068,0.2179033003596481,0.14515691086512839,0.15147736931165015,0.11314405717369214,0.1670363655295096,0.0988007135429264,0.00645090852178486,0.00551459685926088,0.06740202823504539,0.07844339343924775,0.20462201130649343,0.48390036860589714,0.0,0.0,0.0,1.0,0.0,6.3797655,10.516307,0,0_WomenStrawweight
Alexa Grasso,WomenStrawweight,0.0,0.0,0.014258161686355773,0.007734069811398008,0.034121745043857274,0.03104158751938279,0.2578661385676325,0.12626511990826575,0.3053182954101055,0.1583453755820339,0.2536815904985928,0.14609829637774935,0.3167463341136089,0.21895506899083408,0.01994693670862422,0.014053523590165515,0.24350581017469672,0.07696767149630372,0.19937300392609725,0.07296231030905942,0.2587852181551673,0.1007005485081417,0.28282874318011,0.19782621707901,0.10011880915627053,0.0640421431546744,0.2513777639672224,0.27552050240242126,0.060151710456308266,0.06421264783233639,0.42643754616008617,0.28059018618473547,0.32187209610564865,0.1610325117225581,0.21361978067805196,0.15744493956235342,0.053394228121514,0.0419149013128724,0.005355544303638183,0.005097968034611615,0.014046567186121689,0.015197650689345104,0.13087946964407204,0.16290897297581733,0.0,1.0,0.0,0.0,0.0,14.467677,1.9069711,1,1_WomenStrawweight
Amanda Cooper,WomenStrawweight,0.0,0.018062217658835,0.1295777083945261,0.08889071467155608,0.18466043471541432,0.0,0.1512379584992183,0.07217112615766921,0.2121948009359364,0.17333770984396227,0.183772501056631,0.11133102806911761,0.25547200621171057,0.26596773919696753,0.06079591320153567,0.03639068773677214,0.18662279190761563,0.1725555267753785,0.14728471032255652,0.06554103550140544,0.18145581021748572,0.1263074188090761,0.06687170136741401,0.054810499019188996,0.05424818692063989,0.04407036355102126,0.012063126962368807,0.016586799573257104,0.06674533940115826,0.08971220560791066,0.24552196764684817,0.13657647976703055,0.17366811841493673,0.12328253356514149,0.0158116343143029,0.015400519374133259,0.0079118932373896,0.0063037329242932,0.02713085809677349,0.025720766115667416,0.09992659753289679,0.12427659203284469,0.29463263179606924,0.34357822477293826,0.0,0.0,0.0,0.0,1.0,12.543368,3.9169912,1,1_WomenStrawweight
Amanda Lemos,WomenStrawweight,0.03992507479317142,0.0,0.01824509541709471,0.007336737229926007,0.022593034035217015,0.030143720247725447,0.2034166459612422,0.13840034159000925,0.3481980313149173,0.2645348202661297,0.1714843471396322,0.11792463445726153,0.3787577654546532,0.3577418901540162,0.047043587627564054,0.04461318147888675,0.09760930506478542,0.015568755089703448,0.15700498839666915,0.09420033918085413,0.2816918493825968,0.17729490950599258,0.27543301254761,0.19919665438226203,0.11146095135416179,0.08412332509871215,0.14431380311953493,0.1926496363717555,0.12210344999264329,0.14496700005123786,0.3110000741573836,0.2953418129965332,0.2854654682622887,0.1968391338820635,0.1349788376789072,0.12883201924304194,0.217913940332508,0.1642376807284296,0.024037076923341165,0.018362145711558,0.004577719268354091,0.004070746638974721,0.16596634212745043,0.252490186816277,0.0,0.0,0.0,1.0,0.0,6.541467,9.980613,0,0_WomenStrawweight
Amanda Ribas,WomenStrawweight,0.0,0.007661661048115001,0.09992681598694836,0.0,0.030135244564469765,0.11321204888670582,0.1810451426925201,0.09276610411393837,0.18144965477141098,0.07226800821044306,0.2216950990737784,0.1508475253758918,0.21089979700684186,0.14278498770311018,0.13928174032245674,0.10171078414372652,0.0782095068960921,0.008418923403469523,0.15000663439052794,0.06121880772611636,0.16962491051554812,0.05274759667576741,0.20427464747110402,0.15798655124463298,0.030252208234349258,0.016688623031119506,0.09055182499822256,0.11131669078797402,0.03762244714539826,0.042550670699794124,0.28292048851818075,0.1874170831176153,0.19679735011712307,0.07231261733545617,0.053690508561105965,0.05362760828692402,0.0149198292429164,0.0132240593260404,0.03132678870844377,0.022347661821866555,0.013931434358166619,0.01503119648025314,0.47529938129985966,0.11384946244106683,0.0,1.0,0.0,0.0,0.0,10.628728,2.9434643,1,1_WomenStrawweight
Angela Hill,WomenStrawweight,0.006061349914114434,0.0008412618756822646,0.00466033268869403,0.004671271509960005,0.02424137954019562,0.0,0.24151013812001457,0.13900929186183095,0.43502281710907725,0.23554164221643434,0.2054172419018836,0.12089518018825138,0.4243738609975552,0.28076134102690986,0.042266435425522046,0.018045018459156223,0.22930654263619776,0.05307337834545255,0.1877732382680872,0.09137615185397209,0.36174542002011634,0.1446992221225524,0.36940173929273795,0.25903188218733797,0.12949827647758164,0.07536150000322803,0.11499409461292733,0.13735259820207532,0.13696423420429654,0.18133516080714496,0.38937201442183966,0.300619817028081,0.46043444464581673,0.26267981456864,0.21104938682629032,0.18442115093411887,0.088408772265476,0.0509190506138336,0.008053280144138156,0.0062974618561609,0.007997113265716034,0.008157887340261523,0.1285357610802721,0.18257876395478687,0.0,1.0,0.0,0.0,0.0,15.357953,1.5075897,1,1_WomenStrawweight
Angela Magana,WomenStrawweight,0.0,0.02142809274896,0.011596590156747733,0.036188178528345036,0.0,0.0,0.16988074096412456,0.050376657029250475,0.35928332278342423,0.2732964750033507,0.135996515212438,0.042404120474084254,0.35512736404743256,0.3151806294137967,0.04434794263503345,0.00934861278648681,0.0697430775448554,0.06997504221469246,0.11896945274849503,0.01070208417102259,0.2696115499522246,0.169185765983112,0.217772416566143,0.10031497118348699,0.1659479292320063,0.11017541214314402,0.23037540666008713,0.25355331054818325,0.09940188982710077,0.13085712370995772,0.3255027495634303,0.13156815440289465,0.38869794727454554,0.3209546748354598,0.04129456726701118,0.0386943388906213,0.045141401956842,0.0348559174373408,0.0,0.0,0.01681860428325651,0.017778494683984465,0.15170792315310394,0.0694080874491375,0.0,1.0,0.0,0.0,0.0,13.737859,0.56128925,1,1_WomenStrawweight
Ariane Carnelossi,WomenStrawweight,0.0,0.0,0.009644919227435537,0.012820198253016012,0.1822604851637254,0.11053859827046339,0.2671687495000602,0.12337045326176437,0.39709879263898773,0.2998114696736134,0.2638173971284742,0.1462089503745878,0.38383639072552955,0.3378246643268207,0.05826909736215047,0.03887634813142504,0.06766608265347691,0.050918354446731075,0.21754901174643487,0.07788708618927219,0.3215858323087215,0.20522681149368183,0.24218382136892602,0.138949696484426,0.18433080102633753,0.13181077244364567,0.22757489398121064,0.28657524516921906,0.023626692248349755,0.02765237020316001,0.4386096239210957,0.277810330973648,0.36423113133290774,0.26309504130028305,0.21120265761994245,0.1288753459110909,0.182718196538556,0.1449961037447484,0.009215678744198355,0.00861089982661032,0.0039721597865905135,0.0038758738904471515,0.21404366622309848,0.12732411828847526,0.0,1.0,0.0,0.0,0.0,14.762566,1.317027,1,1_WomenStrawweight
